127.0.0.1 - - [23/May/2022:23:16:00 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/May/2022:23:16:09 +0200] "GET /ticket-app/ HTTP/1.1" 200 4998
0:0:0:0:0:0:0:1 - - [23/May/2022:23:16:11 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd;jsessionid=FC57F215090FA52E263F9B6E8241BCA7 HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [23/May/2022:23:16:13 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zk.wpd;jsessionid=FC57F215090FA52E263F9B6E8241BCA7 HTTP/1.1" 200 120701
0:0:0:0:0:0:0:1 - - [23/May/2022:23:16:14 +0200] "GET /ticket-app/assets/css/style.css;jsessionid=FC57F215090FA52E263F9B6E8241BCA7 HTTP/1.1" 200 27185
0:0:0:0:0:0:0:1 - - [23/May/2022:23:16:14 +0200] "GET /ticket-app/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 163873
0:0:0:0:0:0:0:1 - - [23/May/2022:23:16:16 +0200] "GET /ticket-app/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13785
0:0:0:0:0:0:0:1 - - [23/May/2022:23:16:16 +0200] "GET /ticket-app/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [23/May/2022:23:16:17 +0200] "GET /ticket-app/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 15563
0:0:0:0:0:0:0:1 - - [23/May/2022:23:16:17 +0200] "GET /ticket-app/assets/css/style.css HTTP/1.1" 200 27185
0:0:0:0:0:0:0:1 - - [23/May/2022:23:16:17 +0200] "GET /ticket-app/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 73271
0:0:0:0:0:0:0:1 - - [23/May/2022:23:16:17 +0200] "GET /ticket-app/zkau/web/a8c4997f/zul/css/zk.wcs;jsessionid=FC57F215090FA52E263F9B6E8241BCA7 HTTP/1.1" 200 19863
0:0:0:0:0:0:0:1 - - [23/May/2022:23:16:17 +0200] "GET /ticket-app/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 63781
0:0:0:0:0:0:0:1 - - [23/May/2022:23:16:18 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zkbind.wpd;jsessionid=FC57F215090FA52E263F9B6E8241BCA7 HTTP/1.1" 200 1498
