127.0.0.1 - - [10/Jun/2022:06:42:48 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:53 +0200] "GET /ticket-app/ HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:55 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd;jsessionid=638D96C8113D6C017E5FCE01E5A983E4 HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:58 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zk.wpd;jsessionid=638D96C8113D6C017E5FCE01E5A983E4 HTTP/1.1" 200 120701
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:58 +0200] "GET /ticket-app/assets/css/style.css;jsessionid=638D96C8113D6C017E5FCE01E5A983E4 HTTP/1.1" 200 27185
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:59 +0200] "GET /ticket-app/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:59 +0200] "GET /ticket-app/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:59 +0200] "GET /ticket-app/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:59 +0200] "GET /ticket-app/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:59 +0200] "GET /ticket-app/assets/vendor/remixicon/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:59 +0200] "GET /ticket-app/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:59 +0200] "GET /ticket-app/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:59 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zkbind.wpd;jsessionid=638D96C8113D6C017E5FCE01E5A983E4 HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:59 +0200] "GET /ticket-app/js/jquery.min.js;jsessionid=638D96C8113D6C017E5FCE01E5A983E4 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:59 +0200] "GET /ticket-app/js/popper.js;jsessionid=638D96C8113D6C017E5FCE01E5A983E4 HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:59 +0200] "GET /ticket-app/js/bootstrap.min.js;jsessionid=638D96C8113D6C017E5FCE01E5A983E4 HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:59 +0200] "GET /ticket-app/js/main.js;jsessionid=638D96C8113D6C017E5FCE01E5A983E4 HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:42:59 +0200] "GET /ticket-app/assets/vendor/purecounter/purecounter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:43:00 +0200] "GET /ticket-app/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:43:01 +0200] "GET /ticket-app/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:43:01 +0200] "GET /ticket-app/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:43:01 +0200] "GET /ticket-app/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:43:01 +0200] "GET /ticket-app/assets/vendor/php-email-form/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:43:01 +0200] "GET /ticket-app/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:43:01 +0200] "GET /ticket-app/zkau/web/a8c4997f/zul/css/zk.wcs;jsessionid=638D96C8113D6C017E5FCE01E5A983E4 HTTP/1.1" 200 19863
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:43:05 +0200] "GET /ticket-app/assets/vendor/remixicon/remixicon.eot?t=1590207869815 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:43:05 +0200] "GET /ticket-app/assets/vendor/boxicons/fonts/boxicons.eot HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:43:06 +0200] "GET /ticket-app/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?a74547b2f0863226942ff8ded57db345 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:43:06 +0200] "GET /ticket-app/assets/img/hero-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:47:51 +0200] "GET /ticket-app/ HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:47:51 +0200] "GET /ticket-app/ HTTP/1.1" 200 2950
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:47:52 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:47:52 +0200] "GET /ticket-app/js/jquery.min.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:47:52 +0200] "GET /ticket-app/js/bootstrap.min.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:47:52 +0200] "GET /ticket-app/js/popper.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:47:52 +0200] "GET /ticket-app/js/main.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:47:56 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:51:35 +0200] "GET /ticket-app/login.zul HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:51:36 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:51:42 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:51:46 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:52:07 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:52:07 +0200] "GET /ticket-app/adminPage.zul HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:52:08 +0200] "GET /ticket-app/js/popper.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:52:08 +0200] "GET /ticket-app/js/bootstrap.min.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:52:08 +0200] "GET /ticket-app/js/jquery.min.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:52:08 +0200] "GET /ticket-app/js/main.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:52:08 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:52:41 +0200] "GET /ticket-app/issueList.zul HTTP/1.1" 200 2514
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:52:41 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:53:04 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:53:18 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:53:38 +0200] "POST /ticket-app/zkau/upload HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:53:39 +0200] "GET /ticket-app/zkau/web/a8c4997f/zul/img/misc/prgmeter-anim.gif HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:53:39 +0200] "POST /ticket-app/zkau/upload HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:53:40 +0200] "POST /ticket-app/zkau/upload?uuid=g7JQ44&dtid=z_wrt&sid=0 HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:53:42 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:53:42 +0200] "GET /ticket-app/zkau/web/a8c4997f/zul/img/msgbox/info-btn.png HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:53:44 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:53:46 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:53:48 +0200] "GET /ticket-app/issueList.zul HTTP/1.1" 200 2477
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:53:49 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:53:53 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [10/Jun/2022:06:53:53 +0200] "GET /ticket-app/zkau/view/z_xrt/dwnmed-0/q86/Weekly%20report%20from%2011th%20to%2013rd.docx HTTP/1.1" 200 14012
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:35 +0200] "GET /ticket-app/issueList.zul HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:35 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:42 +0200] "GET /ticket-app/index.zul HTTP/1.1" 200 2951
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:42 +0200] "GET /ticket-app/js/jquery.min.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:42 +0200] "GET /ticket-app/js/popper.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:42 +0200] "GET /ticket-app/js/bootstrap.min.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:42 +0200] "GET /ticket-app/js/main.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:43 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:49 +0200] "GET /ticket-app/index.zul HTTP/1.1" 200 2950
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:49 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:49 +0200] "GET /ticket-app/js/jquery.min.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:49 +0200] "GET /ticket-app/js/popper.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:49 +0200] "GET /ticket-app/js/bootstrap.min.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:49 +0200] "GET /ticket-app/js/main.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:52 +0200] "GET /ticket-app/index.zul HTTP/1.1" 200 2951
0:0:0:0:0:0:0:1 - - [10/Jun/2022:07:20:52 +0200] "GET /ticket-app/js/jquery.min.js HTTP/1.1" 404 786
