127.0.0.1 - - [08/Jun/2022:16:55:24 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jun/2022:16:56:25 +0200] "GET /ticket-app/ HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [08/Jun/2022:16:56:46 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd;jsessionid=6AB7129F779107B1B26DE8EF89CA64BA HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [08/Jun/2022:16:56:50 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zk.wpd;jsessionid=6AB7129F779107B1B26DE8EF89CA64BA HTTP/1.1" 200 120701
0:0:0:0:0:0:0:1 - - [08/Jun/2022:16:56:50 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zkbind.wpd;jsessionid=6AB7129F779107B1B26DE8EF89CA64BA HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [08/Jun/2022:16:56:52 +0200] "GET /ticket-app/assets/css/style.css;jsessionid=6AB7129F779107B1B26DE8EF89CA64BA HTTP/1.1" 200 27185
0:0:0:0:0:0:0:1 - - [08/Jun/2022:16:56:53 +0200] "GET /ticket-app/js/jquery.min.js;jsessionid=6AB7129F779107B1B26DE8EF89CA64BA HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [08/Jun/2022:16:56:53 +0200] "GET /ticket-app/js/popper.js;jsessionid=6AB7129F779107B1B26DE8EF89CA64BA HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jun/2022:16:56:53 +0200] "GET /ticket-app/js/bootstrap.min.js;jsessionid=6AB7129F779107B1B26DE8EF89CA64BA HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [08/Jun/2022:16:56:53 +0200] "GET /ticket-app/js/main.js;jsessionid=6AB7129F779107B1B26DE8EF89CA64BA HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [08/Jun/2022:16:56:54 +0200] "GET /ticket-app/zkau/web/a8c4997f/zul/css/zk.wcs;jsessionid=6AB7129F779107B1B26DE8EF89CA64BA HTTP/1.1" 200 19863
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:33 +0200] "GET /ticket-app/ HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:38 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zk.wpd;jsessionid=7CE1EB0343DA422304CC46FA793D7E9F HTTP/1.1" 200 120174
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:39 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd;jsessionid=7CE1EB0343DA422304CC46FA793D7E9F HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:40 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zkbind.wpd;jsessionid=7CE1EB0343DA422304CC46FA793D7E9F HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:40 +0200] "GET /ticket-app/assets/css/style.css;jsessionid=7CE1EB0343DA422304CC46FA793D7E9F HTTP/1.1" 200 27185
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:40 +0200] "GET /ticket-app/js/jquery.min.js;jsessionid=7CE1EB0343DA422304CC46FA793D7E9F HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:40 +0200] "GET /ticket-app/zkau/web/a8c4997f/zul/css/zk.wcs;jsessionid=7CE1EB0343DA422304CC46FA793D7E9F HTTP/1.1" 200 19863
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:40 +0200] "GET /ticket-app/js/popper.js;jsessionid=7CE1EB0343DA422304CC46FA793D7E9F HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:40 +0200] "GET /ticket-app/js/bootstrap.min.js;jsessionid=7CE1EB0343DA422304CC46FA793D7E9F HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:40 +0200] "GET /ticket-app/js/main.js;jsessionid=7CE1EB0343DA422304CC46FA793D7E9F HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:41 +0200] "GET /ticket-app/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 73271
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:41 +0200] "GET /ticket-app/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 63781
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:41 +0200] "GET /ticket-app/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 163873
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:41 +0200] "GET /ticket-app/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:43 +0200] "GET /ticket-app/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13785
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:04:44 +0200] "GET /ticket-app/assets/css/style.css HTTP/1.1" 200 27185
